"Relative Time (Process)","1_fix_encoder_and_train_classifier_20250328_110311 - system/gpu.0.powerWatts","1_fix_encoder_and_train_classifier_20250328_110311 - system/gpu.0.powerWatts__MIN","1_fix_encoder_and_train_classifier_20250328_110311 - system/gpu.0.powerWatts__MAX"
"15.496331986","185.377","185.377","185.377"
"30.497115499","180.984","180.984","180.984"
"45.496467013","180.581","180.581","180.581"
"60.506085446","110.378","110.378","110.378"
"75.496612202","96.285","96.285","96.285"
"90.49706336","121.146","121.146","121.146"
"105.499563718","70.212","70.212","70.212"
"120.496207783","198.849","198.849","198.849"
"135.497355033","194.031","194.031","194.031"
"150.498327258","123.97","123.97","123.97"
"165.49642383","55.739","55.739","55.739"
"180.498329248","194.947","194.947","194.947"
"195.496757087","114.504","114.504","114.504"
"210.501234062","71.107","71.107","71.107"
"225.496205361","198.836","198.836","198.836"
"240.498376654","177.989","177.989","177.989"
"255.506645312","146.452","146.452","146.452"
"270.496233905","191.894","191.894","191.894"
"285.500468453","154.106","154.106","154.106"
"300.499662873","161.875","161.875","161.875"
"315.496050994","68.769","68.769","68.769"
"330.496405482","203.523","203.523","203.523"