"Relative Time (Process)","2_finetune_encoder_and_train_classifier_20250328_114628 - system/gpu.1.powerWatts","2_finetune_encoder_and_train_classifier_20250328_114628 - system/gpu.1.powerWatts__MIN","2_finetune_encoder_and_train_classifier_20250328_114628 - system/gpu.1.powerWatts__MAX"
"15.697571785000001","127.639","127.639","127.639"
"30.697587659","157.128","157.128","157.128"
"45.697404116","134.059","134.059","134.059"
"60.702512245","73.895","73.895","73.895"
"75.711145978","131.934","131.934","131.934"
"90.69690663","167.209","167.209","167.209"
"105.698251852","164.846","164.846","164.846"
"120.703242143","173.83","173.83","173.83"
"135.699654697","96.105","96.105","96.105"
"150.696429165","49.175","49.175","49.175"
"165.703470702","169.051","169.051","169.051"
"180.696001131","170.188","170.188","170.188"
"195.697360187","172.442","172.442","172.442"
"210.703083423","188.131","188.131","188.131"
"225.697349735","48.605","48.605","48.605"
"240.702297083","99.579","99.579","99.579"
"255.697572833","174.336","174.336","174.336"
"270.696636462","165.657","165.657","165.657"
"285.69693689","172.35","172.35","172.35"
"300.699565852","43.139","43.139","43.139"
"315.697074234","168.671","168.671","168.671"
"330.699111593","131.255","131.255","131.255"
"345.703926504","186.715","186.715","186.715"
"360.698287904","168.476","168.476","168.476"
"375.704986848","172.136","172.136","172.136"
"390.696825756","167.94","167.94","167.94"
"405.699554336","164.615","164.615","164.615"
"420.697077355","166.536","166.536","166.536"
"435.697298665","162.614","162.614","162.614"
"450.697417468","155.375","155.375","155.375"
"465.696322798","165.372","165.372","165.372"
"480.697476517","165.998","165.998","165.998"
"495.701957299","56.863","56.863","56.863"
"510.696657523","165.742","165.742","165.742"
"525.70060036","156.14","156.14","156.14"
"540.697859773","170.278","170.278","170.278"
"555.699669507","169.364","169.364","169.364"
"570.699652044","168.315","168.315","168.315"
"585.699226562","168.059","168.059","168.059"
"600.696503295","169.933","169.933","169.933"
"615.698252223","176.739","176.739","176.739"
"630.696495452","161.413","161.413","161.413"
"645.69888686","166.109","166.109","166.109"
"660.69708133","170.582","170.582","170.582"
"675.702159665","134.904","134.904","134.904"
"690.697980193","156.85","156.85","156.85"
"705.699499696","166.749","166.749","166.749"
"720.701353964","169.771","169.771","169.771"
"735.698699512","184.036","184.036","184.036"
"750.703691352","133.963","133.963","133.963"
"765.697502039","178.045","178.045","178.045"
"780.698859399","160.058","160.058","160.058"
"795.699769397","178.175","178.175","178.175"
"810.707329344","74.056","74.056","74.056"
"825.701542148","160.542","160.542","160.542"
"840.696496569","122.22","122.22","122.22"
"855.699759538","170.159","170.159","170.159"
"870.704074904","170.854","170.854","170.854"
"885.6971631","49.939","49.939","49.939"
"900.700372828","162.232","162.232","162.232"
"915.711231527","82.322","82.322","82.322"
"930.696534565","108.478","108.478","108.478"
"945.700491623","145.613","145.613","145.613"
"960.703884196","48.67","48.67","48.67"
"975.698487155","158.713","158.713","158.713"
"990.697610573","160.541","160.541","160.541"
"1005.716254961","159.472","159.472","159.472"
"1020.696333338","167.346","167.346","167.346"
"1035.700179657","42.838","42.838","42.838"
"1050.698322466","157.577","157.577","157.577"
"1065.701984133","161.456","161.456","161.456"
"1080.698706188","173.334","173.334","173.334"
"1095.701042164","160.584","160.584","160.584"
"1110.709080752","66.27","66.27","66.27"
"1125.69656454","113.482","113.482","113.482"
"1140.731264645","142.073","142.073","142.073"
"1155.703419208","109.319","109.319","109.319"
"1170.698455361","156.648","156.648","156.648"
"1185.697819996","64.342","64.342","64.342"
"1200.700487773","156.534","156.534","156.534"
"1215.729245044","129.264","129.264","129.264"
"1230.699211689","149.693","149.693","149.693"
"1245.797677754","162.744","162.744","162.744"
"1260.702921306","41.863","41.863","41.863"
"1275.75484065","49.646","49.646","49.646"
"1290.707605772","51.596","51.596","51.596"
"1305.718580509","164.253","164.253","164.253"
"1320.698402261","157.258","157.258","157.258"
"1335.724477786","124.335","124.335","124.335"
"1350.764836945","73.688","73.688","73.688"
"1365.709162759","53.547","53.547","53.547"
"1380.701291975","157.577","157.577","157.577"
"1395.792098263","158.665","158.665","158.665"
"1410.724021613","90.74","90.74","90.74"