"Relative Time (Process)","3_finetune_encoder_and_train_classifier_augmented_20250328_155832 - system/gpu.0.powerWatts","3_finetune_encoder_and_train_classifier_augmented_20250328_155832 - system/gpu.0.powerWatts__MIN","3_finetune_encoder_and_train_classifier_augmented_20250328_155832 - system/gpu.0.powerWatts__MAX"
"15.546879579","154.266","154.266","154.266"
"30.543366574","165.566","165.566","165.566"
"45.546089062","61.438","61.438","61.438"
"60.546908619999996","157.219","157.219","157.219"
"75.543416238","170.501","170.501","170.501"
"90.54321902","169.369","169.369","169.369"
"105.546401551","64.587","64.587","64.587"
"120.542905477","104.644","104.644","104.644"
"135.547126856","160.727","160.727","160.727"
"150.543264736","180.034","180.034","180.034"
"165.545154602","189.676","189.676","189.676"
"180.543703244","175.388","175.388","175.388"
"195.550394025","175.126","175.126","175.126"
"210.542254303","172.072","172.072","172.072"
"225.542737299","59.982","59.982","59.982"
"240.543775051","159.768","159.768","159.768"
"255.542700006","180.177","180.177","180.177"
"270.542440455","87.713","87.713","87.713"
"285.552552601","182.889","182.889","182.889"
"300.543145724","177.809","177.809","177.809"
"315.542903365","67.13","67.13","67.13"
"330.542225635","171.623","171.623","171.623"
"345.548159634","171.564","171.564","171.564"
"360.542950011","194.379","194.379","194.379"
"375.559860304","172.124","172.124","172.124"
"390.547455729","171.7","171.7","171.7"
"405.543638189","178.549","178.549","178.549"
"420.544233056","158.45","158.45","158.45"
"435.545195686","171.623","171.623","171.623"
"450.547977892","176.798","176.798","176.798"
"465.546795101","176.298","176.298","176.298"
"480.54779729","201.394","201.394","201.394"
"495.546983874","164.603","164.603","164.603"
"510.560859705","160.893","160.893","160.893"
"525.5586679","176.413","176.413","176.413"
"540.544865658","170.277","170.277","170.277"
"555.542236118","183.169","183.169","183.169"
"570.548736121","182.058","182.058","182.058"
"585.54403752","174.395","174.395","174.395"
"600.543369808","170.795","170.795","170.795"
"615.542958315","180.436","180.436","180.436"
"630.543012359","141.463","141.463","141.463"
"645.543420438","172.968","172.968","172.968"
"660.542097411","190.151","190.151","190.151"
"675.543550387","144.854","144.854","144.854"
"690.545166716","95.689","95.689","95.689"
"705.542314063","197.987","197.987","197.987"
"720.542642084","168.389","168.389","168.389"
"735.543900731","158.51","158.51","158.51"
"750.542368723","166.046","166.046","166.046"
"765.54399386","135.546","135.546","135.546"
"780.542046044","167.742","167.742","167.742"
"795.543973392","166.003","166.003","166.003"
"810.542622326","56.099","56.099","56.099"
"825.543484044","161.011","161.011","161.011"
"840.542679815","169.033","169.033","169.033"
"855.542178541","174.661","174.661","174.661"
"870.552698022","185.57","185.57","185.57"
"885.542022389","65.493","65.493","65.493"
"900.542782502","169.757","169.757","169.757"
"915.542928125","61.331","61.331","61.331"
"930.545081103","169.777","169.777","169.777"
"945.549214702","168.994","168.994","168.994"
"960.542232933","68.768","68.768","68.768"
"975.542345667","168.284","168.284","168.284"
"990.542687202","169.324","169.324","169.324"
"1005.542910014","68.38","68.38","68.38"
"1020.542565597","164.848","164.848","164.848"
"1035.543932647","172.268","172.268","172.268"
"1050.545543692","172.661","172.661","172.661"
"1065.547591626","171.896","171.896","171.896"
"1080.54603205","170.077","170.077","170.077"
"1095.543046535","156.709","156.709","156.709"
"1110.545271983","159.153","159.153","159.153"
"1125.551693031","160.543","160.543","160.543"
"1140.549731586","182.595","182.595","182.595"
"1155.542929349","167.593","167.593","167.593"
"1170.546501119","60.205","60.205","60.205"
"1185.547022851","167.769","167.769","167.769"
"1200.545208114","166.579","166.579","166.579"
"1215.543026649","56.419","56.419","56.419"
"1230.545196558","163.633","163.633","163.633"
"1245.547122082","188.412","188.412","188.412"
"1260.558132308","115.248","115.248","115.248"
"1275.54758264","158.581","158.581","158.581"
"1290.560746865","161.487","161.487","161.487"
"1305.543869816","158.723","158.723","158.723"
"1320.54518292","165.927","165.927","165.927"
"1335.546735999","121.001","121.001","121.001"
"1350.550054991","68.38","68.38","68.38"
"1365.550279572","171.505","171.505","171.505"
"1380.549068385","124.744","124.744","124.744"
"1395.54518593","191.442","191.442","191.442"
"1410.546777512","162.929","162.929","162.929"
"1425.544076923","163.131","163.131","163.131"
"1440.544490296","194.314","194.314","194.314"
"1455.545628914","142.296","142.296","142.296"
"1470.55085178","161.52","161.52","161.52"
"1485.559373506","102.605","102.605","102.605"
"1500.544152553","167.056","167.056","167.056"
"1515.542864383","184.546","184.546","184.546"
"1530.544529422","69.897","69.897","69.897"